id,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
1,Hunter Azure,Record: 9-2-0,"5'' 8'"",145,69,Orthodox,Mar 02 1992,3.92,1.97,53,34,2.08,67,58,1.3
2,Michael Byrnes,Record: 5-3-0,"5'' 11'"",155,,"",Jul 17 1990,0,0,0,0,0,0,0,0
3,Gleidson Cutis,Record: 7-4-0,"5'' 9'"",155,,Orthodox,Feb 07 1989,2.99,0,52,0,8.28,0,59,0
4,Rolando Dy,Record: 9-7-1 (1 NC),"5'' 8'"",145,69,Orthodox,Aug 11 1990,3.04,0.3,37,20,4.47,68,52,0
5,Jessica Eye,Record: 15-10-0 (1 NC),"5'' 6'"",125,66,Orthodox,Jul 27 1986,3.96,0.55,36,44,4.19,57,56,0.5
6,Katsuaki Furuki,Record: 1-1-0,"6'' 0'"",168,,"",Nov 10 1980,0.27,0,10,0,2.67,0,39,3
7,Mike Guymon,Record: 15-6-1,"6'' 0'"",170,74,Orthodox,Sep 17 1974,2.75,1.87,65,37,0.79,54,66,1.2
8,Solomon Hutcherson,Record: 11-7-0 (1 NC),"5'' 11'"",185,,Southpaw,Aug 31 1972,2.59,3.53,39,100,2.59,0,64,0
9,Hiroshi Izumi,Record: 4-2-0,--,205,,Orthodox,Jun 22 1982,1.95,3.35,37,70,2.65,100,66,0.5
10,Cristiane Justino,Record: 21-2-0 (1 NC),"5'' 8'"",145,68,Orthodox,Jul 09 1985,7.28,0.66,52,55,2.25,94,64,0.4
11,Mike Kyle,Record: 22-14-1 (2 NC),"6'' 4'"",205,77,Orthodox,Mar 31 1980,3.93,1.33,51,62,3.35,50,49,0.8
12,Chris Lytle,Record: 31-18-5,"5'' 11'"",170,68,Orthodox,Aug 18 1974,3.76,0.7,45,55,3.03,55,58,2.4
13,Ho Bae Myeon,Record: 13-5-1,"5'' 11'"",168,,Orthodox,--,3.16,0,16,0,3.16,0,83,0
14,Kennedy Nzechukwu,Record: 9-3-0,"6'' 5'"",205,83,Southpaw,Jun 13 1992,5.13,0,44,0,4.9,80,51,0
15,Alptekin Ozkilic,Record: 9-5-0,"5'' 5'"",125,65,Orthodox,Mar 27 1986,3.81,4.21,32,58,5.72,75,59,0
16,Mike Pyle,Record: 27-14-1,"6'' 0'"",170,74,Orthodox,Sep 18 1975,2.74,1.8,45,35,2.84,70,60,1.5
17,Christian Quinonez,Record: 16-3-0,"5'' 7'"",135,70,Orthodox,Apr 26 1996,5.07,1,41,100,5.2,100,60,0
18,Jose Quinonez,Record: 9-5-0,"5'' 8'"",135,69,Southpaw,Jul 28 1990,3.6,2.7,45,47,3,42,64,0.6
19,Landon Quinones,Record: 5-1-1,"5'' 9'"",155,,Southpaw,Nov 21 1995,0,0,0,0,0,0,0,0
20,Michel Quinones,Record: 8-3-0,"5'' 10'"",155,73,Orthodox,Dec 22 1984,2.91,0,29,0,5.98,36,48,0
21,Ryan Quinn,Record: 13-7-1,"5'' 8'"",145,,"",--,2.31,0,41,0,1.67,0,48,1.9
22,Josh Quinlan,Record: 5-0-0 (1 NC),"6'' 0'"",170,72,Orthodox,Feb 06 1993,16.6,0,72,0,2.55,100,33,0
23,Jimmy Quinlan,Record: 3-1-1,"6'' 0'"",185,,Orthodox,May 25 1986,2.08,4.46,70,25,5.94,0,16,0
24,Vinicius Queiroz,Record: 8-4-0,"6'' 7'"",220,,"",Aug 29 1983,3.67,5.07,51,70,4.1,100,41,0.7
25,Nate Quarry,Record: 12-4-0,"6'' 0'"",185,72,Open Stance,Mar 18 1972,4.96,0.25,44,33,2.8,60,66,0
26,Billy Quarantillo,Record: 16-4-0,"5'' 10'"",145,70,Orthodox,Dec 08 1988,7.74,1.37,59,21,5.8,57,40,1.4
27,Gary Quan,Record: 3-5-0,"5'' 8'"",143,,"",Apr 11 1971,0,0,0,0,0,0,0,0
28,Bao Quach,Record: 19-10-1,"5'' 3'"",145,,Orthodox,Sep 04 1979,0,0,0,0,0,0,0,0
29,Qiu Lun,Record: 14-8-0,"5'' 8'"",125,66,Southpaw,Jul 08 1997,3.33,2,42,28,2.2,0,67,0
30,Joe Pyfer,Record: 7-2-0,"6'' 2'"",185,75,Orthodox,Sep 17 1996,2.76,3.45,48,100,3.68,0,23,0
31,CM Punk,Record: 0-1-0 (1 NC),"6'' 1'"",170,73,Orthodox,Oct 26 1978,1.1,0.87,23,11,4.87,0,40,0
32,Jens Pulver,Record: 27-19-1,"5'' 7'"",145,70,Southpaw,Dec 06 1974,2.12,0.22,37,33,3.13,63,56,0.3
33,Josh Pulsifer,Record: 17-8-0,"5'' 10'"",145,,"",Mar 16 1983,0,0,0,0,0,0,0,0
34,Hugh Pulley,Record: 6-3-0,"6'' 0'"",155,,"",--,4.47,4,63,66,3.27,69,57,0
35,Juan Manuel Puig,Record: 11-4-0,"5'' 9'"",145,,Orthodox,Apr 23 1989,4.91,0,23,0,7.17,0,51,0
36,Bubba Pugh,Record: 3-3-0,"5'' 10'"",185,,"",--,2.87,4,67,57,2.6,80,23,0
37,Juan Puerta,Record: 23-6-0,"5'' 9'"",125,71,Southpaw,Jan 20 1988,1.27,1,39,100,1.27,0,67,0
38,Claudio Puelles,Record: 13-2-0,"5'' 10'"",155,72,Southpaw,Apr 21 1996,1.99,2.74,51,38,2.89,60,46,1.4
39,Lucie Pudilova,Record: 8-6-0,"5'' 8'"",125,67,Orthodox,Jun 13 1994,4.15,0.16,36,12,4.09,61,52,0.6
40,Daniel Puder,Record: 8-0-0,"6'' 3'"",235,,Orthodox,Oct 09 1981,2.77,1.21,68,50,1.17,81,38,9
41,Cole Province,Record: 6-2-0 (1 NC),"5'' 9'"",145,68,Orthodox,Jan 17 1981,1.47,2.4,44,50,2.72,83,43,1
42,Joe Proctor,Record: 11-5-0,"5'' 10'"",155,72,Orthodox,Aug 10 1985,3.39,0,36,0,3.93,70,59,1.8
43,Lara Procopio,Record: 7-2-0,"5'' 4'"",125,67,Orthodox,Nov 14 1995,5.64,3.15,58,47,6.5,50,47,0.3
44,Jiri Prochazka,Record: 28-3-1,"6'' 3'"",205,80,Orthodox,Oct 14 1992,7.19,0.98,52,100,6.8,50,48,0
45,Brent Primus,Record: 8-0-0,"5'' 10'"",155,,"",Apr 12 1985,1.73,5,39,38,2.27,0,59,2
46,Shane Primm,Record: 5-5-0,"6'' 3'"",205,,Orthodox,Jul 30 1984,0.83,1.78,26,20,2.25,0,62,0
47,Niko Price,Record: 15-5-0 (2 NC),"6'' 0'"",170,76,Orthodox,Sep 29 1989,5.16,0.79,42,22,5.67,65,47,0.8
48,Chris Price,Record: 19-4-0,"6'' 2'"",185,,Southpaw,Nov 09 1982,1.44,0,66,0,2.59,33,48,2.2
49,Dorian Price,Record: 8-5-0,"6'' 3'"",170,,Southpaw,Aug 20 1977,0,0,0,0,0,0,0,0
50,Kyle Prepolec,Record: 12-7-0,"5'' 10'"",170,70,Southpaw,Aug 30 1989,3.2,0,34,0,4.7,40,54,0
51,Philip Preece,Record: 10-14-0,"5'' 8'"",205,,Orthodox,--,0.8,0,72,0,0.7,0,63,0
52,Michel Prazeres,Record: 26-4-0,"5'' 6'"",170,67,Orthodox,Jul 25 1981,2.38,3.94,47,36,2.51,47,57,0.6
53,Carlo Prater,Record: 31-18-1,"5'' 11'"",155,72,Switch,Jun 25 1981,2.03,0.43,47,9,4.07,57,35,1.7
54,Ricardo Prasel,Record: 10-2-0,"6'' 7'"",238,78,Orthodox,Jun 02 1990,2.21,0,57,0,7.83,0,37,0
55,Trevor Prangley,Record: 34-11-2,"6'' 1'"",185,75,Orthodox,Aug 24 1972,2.59,3.38,60,55,2.02,74,48,1
56,Wagner Prado,Record: 12-3-0 (1 NC),"6'' 0'"",205,74,Southpaw,Dec 30 1986,1.72,0,40,0,3.06,22,50,0
57,Marcin Prachnio,Record: 15-6-0,"6'' 3'"",205,74,Orthodox,Jul 14 1988,5.84,0,54,0,4.15,53,53,0
