event_date,fighter,opponent,win
1994-03-11,Orlando Wiet,Remco Pardoel,False
1994-03-11,Patrick Smith,Scott Morris,True
1994-03-11,Ray Wizard,Patrick Smith,False
1994-03-11,Remco Pardoel,Orlando Wiet,True
1994-03-11,Royce Gracie,Jason DeLucia,True
1994-03-11,Patrick Smith,Johnny Rhodes,True
1994-03-11,Royce Gracie,Remco Pardoel,True
1994-03-11,Royce Gracie,Patrick Smith,True
1994-03-11,Remco Pardoel,Royce Gracie,False
1994-03-11,Royce Gracie,Minoki Ichihara,True
1994-03-11,Johnny Rhodes,Patrick Smith,False
1994-03-11,Fred Ettish,Johnny Rhodes,False
1994-03-11,Scott Morris,Patrick Smith,False
1994-03-11,Minoki Ichihara,Royce Gracie,False
1994-03-11,Scott Baker,Jason DeLucia,False
1994-03-11,Alberta Cerra Leon,Remco Pardoel,False
1994-03-11,Robert Lucarelli,Orlando Wiet,False
1994-03-11,Thaddeus Luster,Frank Hamaker,False
1994-03-11,David Levicki,Johnny Rhodes,False
1994-03-11,Jason DeLucia,Royce Gracie,False
1994-03-11,Jason DeLucia,Scott Baker,True
1994-03-11,Johnny Rhodes,Fred Ettish,True
1994-03-11,Orlando Wiet,Robert Lucarelli,True
1994-03-11,Remco Pardoel,Alberta Cerra Leon,True
1994-03-11,Patrick Smith,Royce Gracie,False
1994-03-11,Scott Morris,Sean Daugherty,True
1994-03-11,Sean Daugherty,Scott Morris,False
1994-03-11,Johnny Rhodes,David Levicki,True
1994-03-11,Frank Hamaker,Thaddeus Luster,True
1994-03-11,Patrick Smith,Ray Wizard,True
1994-09-09,Ken Shamrock,Felix Lee Mitchell,True
1994-09-09,Steve Jennum,Harold Howard,True
1994-09-09,Royce Gracie,Kimo Leopoldo,True
1994-09-09,Harold Howard,Roland Payne,True
1994-09-09,Ken Shamrock,Christophe Leninger,True
1994-09-09,Roland Payne,Harold Howard,False
1994-09-09,Keith Hackney,Emmanuel Yarborough,True
1994-09-09,Harold Howard,Steve Jennum,False
1994-09-09,Christophe Leninger,Ken Shamrock,False
1994-09-09,Felix Lee Mitchell,Ken Shamrock,False
1994-09-09,Kimo Leopoldo,Royce Gracie,False
1994-09-09,Emmanuel Yarborough,Keith Hackney,False
1994-12-16,Marcus Bossett,Dan Severn,False
1994-12-16,Keith Hackney,Royce Gracie,False
1994-12-16,Ron van Clief,Royce Gracie,False
1994-12-16,Melton Bowen,Steve Jennum,False
