id,fighter_url,fighter_name,fighter_record,height,weight,reach,stance,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg
1,http://ufcstats.com/fighter-details/2af2f2e26c4c0402,Hunter Azure,Record: 9-2-0,"5' 8""",145,69,Orthodox,Mar 02 1992,3.92,1.97,53.0,34.0,2.08,67.0,58.0,1.3
2,http://ufcstats.com/fighter-details/87f0b37f153cf497,Michael Byrnes,Record: 5-3-0,"5' 11""",155,,,Jul 17 1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,http://ufcstats.com/fighter-details/44a94bbde42246e4,Gleidson Cutis,Record: 7-4-0,"5' 9""",155,,Orthodox,Feb 07 1989,2.99,0.0,52.0,0.0,8.28,0.0,59.0,0.0
4,http://ufcstats.com/fighter-details/55ed59d541f8b90c,Rolando Dy,Record: 9-7-1 (1 NC),"5' 8""",145,69,Orthodox,Aug 11 1990,3.04,0.3,37.0,20.0,4.47,68.0,52.0,0.0
5,http://ufcstats.com/fighter-details/f72465a784c1b084,Jessica Eye,Record: 15-11-0 (1 NC),"5' 6""",125,66,Orthodox,Jul 27 1986,3.86,0.58,37.0,40.0,4.19,57.0,55.0,0.5
6,http://ufcstats.com/fighter-details/c3e2eca94b2320bc,Katsuaki Furuki,Record: 1-1-0,"6' 0""",168,,,Nov 10 1980,0.27,0.0,10.0,0.0,2.67,0.0,39.0,3.0
7,http://ufcstats.com/fighter-details/eaea0fc7b76525a8,Mike Guymon,Record: 15-6-1,"6' 0""",170,74,Orthodox,Sep 17 1974,2.75,1.87,65.0,37.0,0.79,54.0,66.0,1.2
8,http://ufcstats.com/fighter-details/8588d14c4952b9fa,Young Hwang,Record: 8-5-0,"5' 9""",135,,,Sep 02 1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,http://ufcstats.com/fighter-details/53e4e21f4c688801,Hiroshi Izumi,Record: 4-2-0,--,205,,Orthodox,Jun 22 1982,1.95,3.35,37.0,70.0,2.65,100.0,66.0,0.5
10,http://ufcstats.com/fighter-details/634bb0de2eb043b4,Cristiane Justino,Record: 21-2-0 (1 NC),"5' 8""",145,68,Orthodox,Jul 09 1985,7.28,0.66,52.0,55.0,2.25,94.0,64.0,0.4
11,http://ufcstats.com/fighter-details/56b8b24f65f9f057,Mike Kyle,Record: 22-14-1 (2 NC),"6' 4""",205,77,Orthodox,Mar 31 1980,3.93,1.33,51.0,62.0,3.35,50.0,49.0,0.8
12,http://ufcstats.com/fighter-details/91acd6910b802a9e,Chris Lytle,Record: 31-18-5,"5' 11""",170,68,Orthodox,Aug 18 1974,3.76,0.7,45.0,55.0,3.03,55.0,58.0,2.4
13,http://ufcstats.com/fighter-details/2719f300b0439039,Ho Bae Myeon,Record: 13-5-1,"5' 11""",168,,Orthodox,--,3.16,0.0,16.0,0.0,3.16,0.0,83.0,0.0
14,http://ufcstats.com/fighter-details/8667caa0451d245b,Kennedy Nzechukwu,Record: 12-4-0,"6' 5""",205,83,Southpaw,Jun 13 1992,4.86,0.68,46.0,50.0,4.27,80.0,51.0,0.3
15,http://ufcstats.com/fighter-details/e18a19001a3f7c7d,Alptekin Ozkilic,Record: 9-5-0,"5' 5""",125,65,Orthodox,Mar 27 1986,3.81,4.21,32.0,58.0,5.72,75.0,59.0,0.0
16,http://ufcstats.com/fighter-details/f5990c11974d8e9c,Mike Pyle,Record: 27-14-1,"6' 0""",170,74,Orthodox,Sep 18 1975,2.74,1.8,45.0,35.0,2.84,70.0,60.0,1.5
17,http://ufcstats.com/fighter-details/7debc13b36343605,Cristian Quinonez,Record: 18-4-0,"5' 8""",135,70,Orthodox,Apr 26 1996,5.23,0.73,42.0,100.0,5.13,85.0,59.0,0.0
18,http://ufcstats.com/fighter-details/36549928f90f1d36,Jose Quinonez,Record: 9-5-0,"5' 8""",135,69,Southpaw,Jul 28 1990,3.6,2.7,45.0,47.0,3.0,42.0,64.0,0.6
19,http://ufcstats.com/fighter-details/267f4a6568abe245,Landon Quinones,Record: 7-2-1,"5' 9""",155,70,Southpaw,Nov 21 1995,9.87,0.0,41.0,0.0,11.4,100.0,54.0,0.0
20,http://ufcstats.com/fighter-details/5e84a859c6a82288,Michel Quinones,Record: 8-3-0,"5' 10""",155,73,Orthodox,Dec 22 1984,2.91,0.0,29.0,0.0,5.98,36.0,48.0,0.0
21,http://ufcstats.com/fighter-details/cc23ed51619421a3,Ryan Quinn,Record: 13-7-1,"5' 8""",145,,,--,2.31,0.0,41.0,0.0,1.67,0.0,48.0,1.9
22,http://ufcstats.com/fighter-details/876f478f796495f7,Josh Quinlan,Record: 6-1-0 (1 NC),"6' 0""",170,72,Orthodox,Feb 06 1993,3.68,0.84,41.0,12.0,5.97,60.0,50.0,0.0
23,http://ufcstats.com/fighter-details/ddbe4fa2ea573393,Jimmy Quinlan,Record: 3-1-1,"6' 0""",185,,Orthodox,May 25 1986,2.08,4.46,70.0,25.0,5.94,0.0,16.0,0.0
24,http://ufcstats.com/fighter-details/2a8502954f49e682,Vinicius Queiroz,Record: 8-4-0,"6' 7""",220,,Orthodox,Aug 29 1983,3.67,5.07,51.0,70.0,4.1,100.0,41.0,0.7
25,http://ufcstats.com/fighter-details/52cae54377b433b7,Nate Quarry,Record: 12-4-0,"6' 0""",185,72,Open Stance,Mar 18 1972,4.96,0.25,44.0,33.0,2.8,60.0,66.0,0.0
26,http://ufcstats.com/fighter-details/aa171d55d4b5208f,Billy Quarantillo,Record: 18-5-0,"5' 10""",145,70,Orthodox,Dec 08 1988,7.71,1.31,57.0,23.0,5.61,63.0,43.0,1.2
27,http://ufcstats.com/fighter-details/f7b4cbe93f3bac06,Gary Quan,Record: 3-5-0,"5' 8""",143,,,Apr 11 1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,http://ufcstats.com/fighter-details/d365ee924f5cc3fc,Bao Quach,Record: 19-10-1,"5' 3""",145,,Orthodox,Sep 04 1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,http://ufcstats.com/fighter-details/126bdc1710a8cbf4,Qiu Lun,Record: 16-9-0,"5' 8""",125,66,Southpaw,Jul 08 1997,3.51,0.67,46.0,18.0,1.78,68.0,67.0,0.0
30,http://ufcstats.com/fighter-details/c1085e1701b13eca,Joe Pyfer,Record: 12-2-0,"6' 2""",185,75,Orthodox,Sep 17 1996,3.64,2.97,45.0,83.0,2.34,50.0,55.0,1.8
