Feature,Importance
losses_outside_ufc_diff,0.039829962
wins_diff,0.024424179
title_fights_diff,0.023804806
age_diff,0.023259798
knocked_out_in_previous_fight_diff,0.022887338
lost_by_ko_diff,0.019548288
lost_by_sub_diff,0.019497598
sig_ground_attempted_received_per_minute_diff,0.019417254
sig_clinch_landed_received_per_minute_diff,0.019207273
takedowns_per_minute_diff,0.018761832
total_strike_received_per_minute_diff,0.01874441
performance_bonuses_diff,0.018373694
knock_down_received_per_minute_diff,0.018366132
sig_clinch_attempted_received_per_minute_diff,0.018282322
sig_leg_landed_received_per_minute_diff,0.017916322
sig_head_landed_per_minute_diff,0.017702315
sig_strikes_received_per_minute_diff,0.017565072
sig_strikes_per_minute_diff,0.017519318
losing_streak_diff,0.01742059
reversals_per_minute_diff,0.017317371
reach_diff,0.017253444
sig_ground_landed_received_per_minute_diff,0.016983777
sig_head_landed_received_per_minute_diff,0.016704459
wins_outside_ufc_diff,0.016674984
sig_leg_landed_per_minute_diff,0.016658777
takedowns_received_per_minute_diff,0.01663562
total_time_in_octagon_diff,0.016618988
sig_body_attempted_received_per_minute_diff,0.016579883
sig_body_landed_received_per_minute_diff,0.016510567
win_streak_diff,0.016444344
control_time_received_per_minute_diff,0.016440697
sig_ground_landed_per_minute_diff,0.016416574
sig_strikes_to_head_diff,0.016286759
knock_down_per_minute_diff,0.016187517
sig_head_attempted_received_per_minute_diff,0.016184976
months_since_last_fight_diff,0.016173197
sig_distance_landed_received_per_minute_diff,0.016087774
sig_head_attempted_per_minute_diff,0.015874129
submission_attempt_received_per_minute_diff,0.015829703
sig_distance_attempted_per_minute_diff,0.015239775
sig_distance_landed_per_minute_diff,0.015147493
height_cm_diff,0.014948254
losses_diff,0.014800721
sig_clinch_attempted_per_minute_diff,0.014760927
won_by_ko_diff,0.014723732
won_by_sub_diff,0.014721382
sig_ground_attempted_per_minute_diff,0.014710919
total_strike_per_minute_diff,0.014665391
control_time_per_minute_diff,0.014643871
sig_leg_attempted_per_minute_diff,0.014207149
reversals_received_per_minute_diff,0.014094766
lost_by_decision_diff,0.013548691
sig_clinch_landed_per_minute_diff,0.013522779
sig_leg_attempted_received_per_minute_diff,0.013448734
submission_attempt_per_minute_diff,0.013417167
sig_body_attempted_per_minute_diff,0.012876916
sig_distance_attempted_received_per_minute_diff,0.012639471
sig_body_landed_per_minute_diff,0.012522468
won_by_decision_diff,0.008967404
