fighter1,fighter2,win,reach_diff,height_diff,age_diff,slpm_diff,td_avg_diff,strike_acc_diff,td_acc_diff,sapm_diff,td_def_diff,strike_def_diff,sub_avg_diff,total_wins_diff,total_losses_diff,total_draws_diff,ufc_wins_diff,ufc_losses_diff,ufc_nc_diff
Brady Hiestand,Batgerel Danaa,1,1.0,2.539999999999992,9.820670773442847,-2.4499999999999997,3.5399999999999996,16.0,-4.0,-0.56,-20.0,6.0,0.3,-4.0,-3.0,0.0,0.0,0.0,-4.0
Hailey Cowan,Jamey-Lyn Horth,0,1.0,2.539999999999992,1.8726899383983573,-2.1,1.5,-31.0,33.0,-1.0300000000000002,5.0,-24.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Joseph Holmes,Claudio Ribeiro,0,3.0,7.6200000000000045,2.9623545516769334,-1.7700000000000005,0.73,-4.0,-10.0,-0.2599999999999998,-25.0,23.0,0.8,-3.0,0.0,0.0,0.0,0.0,1.0
Jessica-Rose Clark,Tainara Lisboa,0,-3.0,-5.0800000000000125,-3.2580424366872007,1.6800000000000002,-0.3899999999999999,1.0,2.0,2.11,-8.0,4.0,-0.2,4.0,7.0,0.0,0.0,0.0,7.0
Themba Gorimbo,Takashi Sato,1,4.0,7.619999999999976,0.6242299794661191,-0.4099999999999999,2.71,18.0,13.0,-2.02,6.0,-2.0,0.0,-5.0,-3.0,0.0,0.0,0.0,-5.0
Philipe Lins,Maxim Grishin,1,0.0,-2.539999999999992,1.2922655715263518,0.33000000000000007,1.34,-6.0,19.0,1.46,34.0,-14.0,0.0,-15.0,-5.0,-2.0,0.0,0.0,0.0
Maria Oliveira,Diana Belbita,0,1.0,-2.539999999999992,0.46269678302532513,-1.5599999999999996,-0.020000000000000018,-4.0,-18.0,-0.6699999999999999,-22.0,-7.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-2.0
Modestas Bukauskas,Zac Pauga,1,2.0,2.539999999999992,5.960301163586585,-0.9800000000000004,-0.42,-22.0,-9.0,1.4099999999999997,-25.0,-9.0,0.0,8.0,3.0,0.0,0.0,0.0,3.0
Sedriques Dumas,Cody Brundage,1,7.0,5.0800000000000125,1.2238193018480492,0.18999999999999995,-1.7399999999999998,-5.0,0.0,-0.5100000000000002,-33.0,13.0,-0.7000000000000001,0.0,-4.0,0.0,0.0,0.0,-4.0
Alexandr Romanov,Blagoy Ivanov,1,2.0,7.6200000000000045,4.172484599589322,0.8099999999999996,3.6300000000000003,12.0,14.0,-2.0,-41.0,-3.0,0.8,-2.0,-4.0,0.0,0.0,0.0,0.0
